=== Oracle gratuit | seed=1 ===
Run: oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229
  device=cuda, batch=1024, updates=488
  CSV → logs/oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229.csv
  obs=(64, 64, 3), n_actions=8, query_action=7
  params=67,167,753
[ 230/488] step= 235520 | ep=11872 | return= 0.871 | guided%= 58.9 | bc=0.0000 | cumQ=129345 | bc_coef=0.000 | sps=465
[ 240/488] step= 245760 | ep=12391 | return= 0.864 | guided%= 58.7 | bc=0.0000 | cumQ=134915 | bc_coef=0.000 | sps=465
[ 250/488] step= 256000 | ep=12971 | return= 0.871 | guided%= 58.8 | bc=0.0000 | cumQ=141113 | bc_coef=0.000 | sps=465
[ 260/488] step= 266240 | ep=13536 | return= 0.862 | guided%= 60.1 | bc=0.0000 | cumQ=147200 | bc_coef=0.000 | sps=465
[ 270/488] step= 276480 | ep=14101 | return= 0.871 | guided%= 56.9 | bc=0.0000 | cumQ=153176 | bc_coef=0.000 | sps=465
[ 280/488] step= 286720 | ep=14655 | return= 0.871 | guided%= 54.7 | bc=0.0000 | cumQ=158874 | bc_coef=0.000 | sps=465
[ 290/488] step= 296960 | ep=15200 | return= 0.875 | guided%= 54.1 | bc=0.0000 | cumQ=164389 | bc_coef=0.000 | sps=465
[ 300/488] step= 307200 | ep=15762 | return= 0.880 | guided%= 53.4 | bc=0.0000 | cumQ=170037 | bc_coef=0.000 | sps=465
[ 310/488] step= 317440 | ep=16318 | return= 0.875 | guided%= 55.2 | bc=0.0000 | cumQ=175747 | bc_coef=0.000 | sps=465
[ 320/488] step= 327680 | ep=16871 | return= 0.880 | guided%= 53.8 | bc=0.0000 | cumQ=181202 | bc_coef=0.000 | sps=465
